date,value
2020-01-01,102.968321277126
2020-02-01,103.06809678224
2020-03-01,97.5804440009978
2020-04-01,89.3988525816912
2020-05-01,91.9930157146421
2020-06-01,101.970566225992
2020-07-01,98.9773010725867
2020-08-01,103.766525318034
2020-09-01,102.070341731105
2020-10-01,101.371913195311
2020-11-01,101.771015215765
2020-12-01,101.371913195311
2021-01-01,100.673484659516
2021-02-01,102.968321277126
2021-03-01,102.369668246446
2021-04-01,100.074831628835
2021-05-01,100.074831628835
2021-06-01,102.070341731105
2021-07-01,101.671239710651
2021-08-01,100.473933649289
2021-09-01,101.172362185084
2021-10-01,101.970566225992
2021-11-01,103.666749812921
2021-12-01,102.469443751559
2022-01-01,102.070341731105
2022-02-01,101.970566225992
2022-03-01,102.868545772013
2022-04-01,103.267647792467
2022-05-01,103.966076328261
2022-06-01,103.566974307807
2022-07-01,104.464953853829
2022-08-01,104.664504864056
2022-09-01,105.861810925418
2022-10-01,106.260912945872
2022-11-01,106.061361935645
2022-12-01,106.360688450985
2023-01-01,107.258667997007
2023-02-01,109.553504614617
2023-03-01,109.852831129958
2023-04-01,108.655525068596
2023-05-01,110.152157645298
2023-06-01,109.453729109504
2023-07-01,111.848341232228
2023-08-01,112.047892242454
2023-09-01,112.446994262908
2023-10-01,110.551259665752
